horizon,update_regime,round,scenario,estimate,ci_low,ci_high,relative_ratio_percent,n
6,fixed_budget_history_replay,4,strong_premium_penalty,0.013615096733228728,0.008640882492241727,0.018548380028842484,1.3708204238791637,50
6,fixed_budget_history_replay,4,zero,0.0,0.0,0.0,0.0,50
6,fixed_budget_history_replay,5,ai_appreciation,-0.00415015162993839,-0.009028478813585697,0.0014791175304011328,-0.41415516518470963,50
6,fixed_budget_history_replay,5,moderate_asymmetric,0.00911941854221253,0.003040279375876563,0.01686516050453977,0.9161127129096992,50
6,fixed_budget_history_replay,5,strong_premium_penalty,0.017469017255469062,0.010318569988167025,0.024821427646040138,1.762249292460616,50
6,fixed_budget_history_replay,5,zero,0.0,0.0,0.0,0.0,50
6,fixed_budget_history_replay,6,ai_appreciation,-0.005296784746607851,-0.01112135129631315,0.0012094905507906016,-0.5282781517221807,50
6,fixed_budget_history_replay,6,moderate_asymmetric,0.01150637582143999,0.004057475511976298,0.020920616879095185,1.1572828796767842,50
6,fixed_budget_history_replay,6,strong_premium_penalty,0.021632477088895485,0.01304685480563443,0.03107116942760838,2.1868155489267607,50
6,fixed_budget_history_replay,6,zero,0.0,0.0,0.0,0.0,50
12,event_online,1,ai_appreciation,0.0,0.0,0.0,0.0,50
12,event_online,1,moderate_asymmetric,0.0,0.0,0.0,0.0,50
12,event_online,1,strong_premium_penalty,0.0,0.0,0.0,0.0,50
12,event_online,1,zero,0.0,0.0,0.0,0.0,50
12,event_online,2,ai_appreciation,-0.0016117241917752744,-0.003746807823256397,0.00020526928432832646,-0.16104260618428956,50
12,event_online,2,moderate_asymmetric,0.004318969297924396,0.002007956928899493,0.007257111828124278,0.43283094876457806,50
12,event_online,2,strong_premium_penalty,0.0070701411595263065,0.0048232779211232115,0.009161256879538306,0.7095193614195411,50
12,event_online,2,zero,0.0,0.0,0.0,0.0,50
12,event_online,3,ai_appreciation,-0.0030126835373160887,-0.005878356254887585,7.268022710964068e-06,-0.3008149960155275,50
12,event_online,3,moderate_asymmetric,0.008579467718672,0.00578067113199818,0.012426275113765485,0.8616376829839921,50
12,event_online,3,strong_premium_penalty,0.013883511066081919,0.009296602708406055,0.019098599344830672,1.3980334570347066,50
12,event_online,3,zero,0.0,0.0,0.0,0.0,50
12,event_online,4,ai_appreciation,-0.005157027624330995,-0.008929232703009268,-0.0009756640306466906,-0.5143752986400016,50
12,event_online,4,moderate_asymmetric,0.011676120060959179,0.0064698525000052975,0.017283738798680164,1.1744552031412838,50
12,event_online,4,strong_premium_penalty,0.019217231070942798,0.011540812121138885,0.027055287973389432,1.9403070587417526,50
12,event_online,4,zero,0.0,0.0,0.0,0.0,50
12,event_online,5,ai_appreciation,-0.007630607147054905,-0.013181655086842489,-0.002548539777737127,-0.7601567973457622,50
12,event_online,5,moderate_asymmetric,0.015046286563409693,0.008561883092236535,0.022186231820910753,1.516005179838154,50
12,event_online,5,strong_premium_penalty,0.024665369138110474,0.015209910543126379,0.0343973537600177,2.497207584180941,50
12,event_online,5,zero,0.0,0.0,0.0,0.0,50
12,event_online,6,ai_appreciation,-0.009436913487333283,-0.015446783403125169,-0.0026800174064959556,-0.9392525557337248,50
12,event_online,6,moderate_asymmetric,0.018428627367215736,0.01003879208703499,0.027284509445663508,1.859948244829861,50
12,event_online,6,strong_premium_penalty,0.03058565480315148,0.019033716979680367,0.040086119895176554,3.105820135385781,50
12,event_online,6,zero,0.0,0.0,0.0,0.0,50
12,event_online,7,ai_appreciation,-0.011713330257974199,-0.01911958479863917,-0.003764807032266777,-1.1644996271520582,50
12,event_online,7,moderate_asymmetric,0.02262447060475762,0.011394091958341693,0.032859499471252406,2.288234502513281,50
12,event_online,7,strong_premium_penalty,0.03728027217628441,0.024477572424138762,0.04824789447638665,3.798389807991722,50
12,event_online,7,zero,0.0,0.0,0.0,0.0,50
12,event_online,8,ai_appreciation,-0.013222521013495594,-0.021774310751444124,-0.003966211265603365,-1.3135487505622798,50
12,event_online,8,moderate_asymmetric,0.025649830461072973,0.0129184977457606,0.03698368055782006,2.5981618053688664,50
12,event_online,8,strong_premium_penalty,0.043318821621474726,0.02813036531030684,0.056087527442973024,4.427077788530249,50
12,event_online,8,zero,0.0,0.0,0.0,0.0,50
12,event_online,9,ai_appreciation,-0.014203498947082435,-0.023725003807449463,-0.0036653621738264963,-1.4103105132453386,50
12,event_online,9,moderate_asymmetric,0.028536652526132453,0.013275408488852542,0.04179878518693228,2.89477236767152,50
12,event_online,9,strong_premium_penalty,0.04968024653289639,0.03335941483277988,0.06270249861719726,5.093500253454112,50
12,event_online,9,zero,0.0,0.0,0.0,0.0,50
12,event_online,10,ai_appreciation,-0.016092403463108515,-0.02619208155257067,-0.005429460401364667,-1.5963612515920749,50
12,event_online,10,moderate_asymmetric,0.031612844857345855,0.013852127509628387,0.04507125594017498,3.211783821463597,50
12,event_online,10,strong_premium_penalty,0.055287484030921305,0.03756356270630291,0.06919253139270287,5.6844396894409455,50
12,event_online,10,zero,0.0,0.0,0.0,0.0,50
12,event_online,11,ai_appreciation,-0.017514932014092897,-0.029696848988664065,-0.0070330399473784565,-1.7362437202410204,50
12,event_online,11,moderate_asymmetric,0.03407742894305925,0.015635055607426254,0.04748298425586441,3.466471662209441,50
12,event_online,11,strong_premium_penalty,0.060141522467120234,0.0415182422608035,0.07559650496185287,6.198683090716115,50
12,event_online,11,zero,0.0,0.0,0.0,0.0,50
12,event_online,12,ai_appreciation,-0.018297097176994122,-0.030302369416580068,-0.006094080817539919,-1.8130721569986317,50
12,event_online,12,moderate_asymmetric,0.03661869755019886,0.018965792290197226,0.04979836904040452,3.729742137348552,50
12,event_online,12,strong_premium_penalty,0.0650222121555913,0.0463538815976179,0.08159798372040282,6.718272854974224,50
12,event_online,12,zero,0.0,0.0,0.0,0.0,50
12,fixed_budget_history_replay,1,ai_appreciation,0.0,0.0,0.0,0.0,50
12,fixed_budget_history_replay,1,moderate_asymmetric,0.0,0.0,0.0,0.0,50
12,fixed_budget_history_replay,1,strong_premium_penalty,0.0,0.0,0.0,0.0,50
12,fixed_budget_history_replay,1,zero,0.0,0.0,0.0,0.0,50
12,fixed_budget_history_replay,2,ai_appreciation,-0.0013229343422125615,-0.0027003241881876977,-8.077266044260141e-05,-0.13220596503381515,50
12,fixed_budget_history_replay,2,moderate_asymmetric,0.003313650993353835,0.00119513155653929,0.0060363739785069806,0.3319147203971212,50
12,fixed_budget_history_replay,2,strong_premium_penalty,0.0050328681360661195,0.0030724081964717776,0.006989915693908263,0.5045554290555505,50
12,fixed_budget_history_replay,2,zero,0.0,0.0,0.0,0.0,50
12,fixed_budget_history_replay,3,ai_appreciation,-0.0025209435724290697,-0.005206782845465146,0.00021551351017177816,-0.2517768662664551,50
12,fixed_budget_history_replay,3,moderate_asymmetric,0.005279623625286036,0.002599403240727147,0.008932164486934372,0.5293585398252918,50
