seed,objective,max_standardized_mean_difference,max_theme_TV,max_model_exposure_deviation,MostPop_HA_gap,BPR_HA_gap,LightGCN_HA_gap
20272078,0.7220173198924205,0.02828703635967963,0.0380659810337919,0.212210437327351,0.13649760660587906,0.0006234272453103626,0.03966876730368953
20272146,0.7334442207002876,0.016109280974582488,0.03609085352841978,0.22106621981102514,-0.3330501166537697,-0.025893028056401802,0.02460243878473954
20271945,0.7347054159533485,0.020273280206403538,0.033355614952394946,0.22146623777278418,-0.13523382246055882,0.037878500432890275,-0.002924474957521534
20271872,0.749621203153936,0.01837002226959935,0.03208674891793521,0.2277070191691446,0.2632906948056017,0.06685225104813759,0.007376598079736974
20271755,0.7504702331697332,0.016516302339081104,0.037531721650861494,0.22588544945145328,-0.2903368842526119,-0.008484728119719202,0.037946256441254635
20271793,0.7711290773291681,0.027443381012293953,0.03722967333695602,0.22928039543714673,0.2914804683990001,-0.05230914456114532,-0.04467722675722538
20272097,0.7784754116317556,0.015259767229398386,0.03770284073919558,0.23555379443118796,0.3334177946689979,-0.019895968383793122,-0.025984568580934498
20272148,0.780168000171076,0.018193485681103027,0.03556471060689947,0.23620914952654126,-0.22357056954380358,0.06177943667527915,-0.025590470736554436
20272008,0.7814733355130017,0.017097655085783238,0.03636266579377543,0.23661056057885177,-0.38532517207053224,0.03253141012545685,0.01430630957841863
20271900,0.7843796196823466,0.019739357145943486,0.040499175755505434,0.23463049963438165,0.4344792109908508,0.0730320335972169,-0.0257776242136637
20272194,0.7892938269815704,0.012062156142306305,0.03528858591397041,0.24143293065610283,0.31497958973222173,-0.017552047558674448,0.046009525692502065
20272050,0.7928026166816279,0.027076735485709824,0.036154474099011465,0.23716472334913363,0.24784741388796322,-0.0654988035926866,-0.035592118656651406
20271728,0.7969466217704351,0.02386891276520488,0.0375035147176642,0.23894081230957798,-0.3707822692763115,-0.06838385313716006,0.00618354502819764
